,sueldo_basico,categoria,ausencias,cantidad_hijos,sueldo
10544,19000,B,0,3,23320
10545,85200,A,2,3,88750
10546,71900,C,0,2,75970
10547,25800,B,0,0,27870
10548,34200,A,2,3,37750
10549,75500,C,0,3,80320
10550,25700,C,1,3,30450
10551,21600,A,1,3,25150
10552,71900,C,2,0,74400
10553,86200,C,0,0,88770
10554,66100,C,0,3,70920
10555,17600,A,0,0,18970
10556,77700,A,0,2,80570
10557,69800,A,0,0,71170
10558,83100,C,2,0,85600
10559,26600,A,0,1,28720
10560,26300,A,0,1,28420
10561,65300,B,2,0,67300
10562,66400,A,1,0,67700
10563,59500,C,2,2,63500
10564,53200,A,2,2,56000
10565,47900,A,0,3,51520
10566,50200,C,1,0,52700
10567,86400,B,1,1,89150
10568,19000,B,1,2,22500
10569,24600,C,1,3,29350
10570,56000,B,2,0,58000
10571,74000,C,1,3,78750
10572,22700,B,0,0,24770
10573,51400,C,0,1,54720
10574,50600,C,1,0,53100
10575,69600,B,2,1,72350
10576,82600,B,0,1,85420
10577,10600,A,1,3,14150
10578,11000,A,2,2,13800
10579,81100,C,2,0,83600
10580,25800,C,2,1,29050
10581,36600,A,1,1,38650
10582,71000,B,2,0,73000
10583,34000,C,2,0,36500
10584,47500,C,2,3,52250
10585,50500,B,1,2,54000
10586,89100,C,1,3,93850
10587,41200,A,2,3,44750
10588,43000,B,1,3,47250
10589,37900,B,2,0,39900
10590,56700,B,2,1,59450
10591,36400,C,1,3,41150
10592,34000,B,1,0,36000
10593,32900,B,0,2,36470
10594,50100,C,0,3,54920
10595,88800,A,0,3,92420
10596,17900,B,0,0,19970
10597,54000,B,0,1,56820
10598,53100,C,2,1,56350
10599,21500,C,1,2,25500
10600,65300,C,2,0,67800
10601,33400,A,1,3,36950
10602,59800,A,0,1,61920
10603,66200,C,2,0,68700
10604,67000,A,0,1,69120
10605,24400,C,0,0,26970
10606,34200,A,0,3,37820
10607,76000,B,1,2,79500
10608,37500,C,1,1,40750
10609,19700,A,1,0,21000
10610,66100,A,2,3,69650
10611,48200,B,1,2,51700
10612,28400,A,2,2,31200
10613,76400,B,0,1,79220
10614,85000,C,2,0,87500
10615,49700,A,0,3,53320
10616,20900,B,1,0,22900
10617,74600,C,2,2,78600
10618,47200,B,1,0,49200
10619,27900,B,1,0,29900
10620,13600,B,0,0,15670
10621,41200,C,1,0,43700
10622,56900,A,0,1,59020
10623,73100,A,1,0,74400
10624,70100,C,2,1,73350
10625,60400,B,0,0,62470
10626,64000,B,1,2,67500
10627,40300,C,1,2,44300
10628,78900,A,1,1,80950
10629,63800,A,1,0,65100
10630,41100,A,2,0,42400
10631,35200,C,2,1,38450
10632,63700,C,2,2,67700
10633,13100,C,0,1,16420
10634,78600,A,0,2,81470
10635,64900,C,1,1,68150
10636,42900,A,0,2,45770
10637,49800,A,2,0,51100
10638,37600,A,1,0,38900
10639,32500,A,1,0,33800
10640,48200,A,1,0,49500
10641,27800,B,2,1,30550
10642,47300,A,2,2,50100
10643,42500,B,2,0,44500
10644,36600,A,2,2,39400
10645,60100,A,2,2,62900
10646,46400,B,2,0,48400
10647,28300,B,0,3,32620
10648,27500,A,1,0,28800
10649,88600,B,0,3,92920
10650,69400,B,2,0,71400
10651,85700,C,1,0,88200
10652,25800,B,2,3,30050
10653,17000,B,0,2,20570
10654,81700,B,1,2,85200
10655,76500,A,2,1,78550
10656,75700,C,0,1,79020
10657,36000,C,1,3,40750
10658,64200,C,2,1,67450
10659,65500,A,2,0,66800
10660,48600,C,2,0,51100
10661,29400,A,1,1,31450
10662,70100,A,0,3,73720
10663,43100,C,2,0,45600
10664,17700,A,2,0,19000
10665,48300,C,1,2,52300
10666,26600,C,0,2,30670
10667,33000,B,2,1,35750
10668,83400,B,0,0,85470
10669,63000,A,2,3,66550
10670,86200,A,0,0,87570
10671,21900,B,1,3,26150
10672,11200,A,0,0,12570
10673,20200,B,1,0,22200
10674,67100,A,0,0,68470
10675,77400,B,0,0,79470
10676,50000,A,1,0,51300
10677,29500,A,1,1,31550
10678,10000,A,1,3,13550
10679,18300,A,1,1,20350
10680,66900,C,1,2,70900
10681,87500,A,1,2,90300
10682,24700,B,2,0,26700
10683,41500,C,2,0,44000
10684,73400,A,2,0,74700
10685,17500,C,2,0,20000
10686,80700,A,0,0,82070
10687,68100,A,1,2,70900
10688,89900,B,0,0,91970
10689,53200,B,1,0,55200
10690,13600,B,1,0,15600
10691,24300,C,1,1,27550
10692,65800,B,0,0,67870
10693,61600,B,1,0,63600
10694,55400,C,1,2,59400
10695,56200,A,2,2,59000
10696,72300,C,1,3,77050
10697,12000,C,2,0,14500
10698,65800,C,0,0,68370
10699,78500,A,2,3,82050
10700,50800,A,0,2,53670
10701,28700,A,2,2,31500
10702,42100,A,1,2,44900
10703,70600,A,1,3,74150
10704,84200,A,1,1,86250
10705,85600,A,0,3,89220
10706,85300,C,2,2,89300
10707,88400,C,0,1,91720
10708,67400,B,0,0,69470
10709,34900,A,0,3,38520
10710,32000,C,1,0,34500
10711,61500,C,2,1,64750
10712,36200,C,2,3,40950
10713,62600,B,1,0,64600
10714,36200,C,0,1,39520
10715,49100,C,0,1,52420
10716,79900,B,2,0,81900
10717,23300,B,2,2,26800
10718,64800,B,1,2,68300
10719,73500,B,2,2,77000
10720,19000,B,2,2,22500
10721,60500,A,0,1,62620
10722,47200,B,2,0,49200
10723,79500,B,2,3,83750
10724,50700,B,0,1,53520
10725,43300,C,2,1,46550
10726,79200,B,1,1,81950
10727,58800,C,2,3,63550
10728,64800,B,1,1,67550
10729,83800,A,2,0,85100
10730,63700,A,1,3,67250
10731,64200,A,2,0,65500
10732,27900,C,2,0,30400
10733,12600,C,2,3,17350
10734,11300,C,0,0,13870
10735,61500,C,1,0,64000
10736,85800,A,2,0,87100
10737,25400,B,0,1,28220
10738,60400,C,0,3,65220
10739,26900,B,2,2,30400
10740,50800,C,0,0,53370
10741,44300,C,1,3,49050
10742,26900,B,2,1,29650
10743,69300,C,2,1,72550
10744,66300,B,0,3,70620
10745,15800,C,0,1,19120
10746,40100,B,2,1,42850
10747,62100,C,0,2,66170
10748,63700,B,0,2,67270
10749,76300,B,1,3,80550
10750,79500,A,1,1,81550
10751,81400,B,2,1,84150
10752,14500,C,1,1,17750
10753,81900,C,1,3,86650
10754,39700,A,0,3,43320
10755,88000,C,2,1,91250
10756,58300,C,2,2,62300
10757,77500,A,0,3,81120
10758,59200,B,0,0,61270
10759,73800,B,0,3,78120
10760,60200,A,1,0,61500
10761,10600,B,2,1,13350
10762,17900,B,1,2,21400
10763,62700,C,0,1,66020
10764,27900,B,0,3,32220
10765,56000,B,2,0,58000
10766,27000,A,2,0,28300
10767,55600,A,2,3,59150
10768,52800,A,0,2,55670
10769,14000,A,1,1,16050
10770,10000,A,2,3,13550
10771,83400,C,1,2,87400
10772,26600,A,2,2,29400
10773,74100,B,2,2,77600
10774,26300,B,2,1,29050
10775,45000,A,2,0,46300
10776,41000,B,1,2,44500
10777,35700,B,0,3,40020
10778,59700,B,1,1,62450
10779,14300,C,1,3,19050
10780,26700,A,1,3,30250
10781,81400,C,1,3,86150
10782,81700,B,2,3,85950
10783,14500,A,0,3,18120
10784,26200,B,0,1,29020
10785,56200,C,0,0,58770
10786,49100,B,2,1,51850
10787,64400,C,0,0,66970
10788,43100,B,2,1,45850
10789,51300,B,1,0,53300
10790,47700,B,0,0,49770
10791,45400,A,2,0,46700
10792,45600,B,2,2,49100
10793,19100,C,1,1,22350
10794,52300,B,1,2,55800
10795,29300,B,0,1,32120
10796,39800,C,0,2,43870
10797,88300,A,1,3,91850
10798,32400,A,0,2,35270
10799,40500,C,0,0,43070
10800,15900,B,1,0,17900
10801,67500,C,0,1,70820
10802,67400,C,0,2,71470
10803,47700,A,1,2,50500
10804,51600,B,0,1,54420
10805,26600,A,0,0,27970
10806,50700,B,2,3,54950
10807,62600,A,0,0,63970
10808,60600,A,0,0,61970
10809,32100,C,0,1,35420
10810,64500,C,0,3,69320
10811,72000,B,0,3,76320
10812,86900,B,1,1,89650
10813,78200,B,0,2,81770
10814,19200,B,2,0,21200
10815,35900,A,0,0,37270
10816,15000,B,0,3,19320
10817,32300,C,0,0,34870
10818,71500,A,2,2,74300
10819,83000,B,1,3,87250
10820,67800,C,0,3,72620
10821,58200,C,2,2,62200
10822,20400,A,0,2,23270
10823,72100,B,0,2,75670
10824,10900,A,2,0,12200
10825,30700,B,2,1,33450
10826,39600,A,2,0,40900
10827,23200,A,2,1,25250
10828,61300,C,1,0,63800
10829,54500,C,2,0,57000
10830,56000,A,2,2,58800
10831,75500,A,0,0,76870
10832,23500,B,0,1,26320
10833,44500,B,2,3,48750
10834,58000,B,1,1,60750
10835,16400,A,1,0,17700
10836,38300,B,1,0,40300
10837,32400,B,1,0,34400
10838,45600,A,1,1,47650
10839,83800,A,0,0,85170
10840,31500,C,2,2,35500
10841,53100,B,1,2,56600
10842,74900,C,0,2,78970
10843,57200,B,2,2,60700
10844,34500,C,0,3,39320
10845,42000,C,1,1,45250
10846,37100,A,0,2,39970
10847,83800,C,2,1,87050
10848,13000,B,2,1,15750
10849,84400,A,0,2,87270
10850,38900,B,0,0,40970
10851,58800,A,0,3,62420
10852,56600,A,1,3,60150
10853,52300,A,0,3,55920
10854,83400,A,2,3,86950
10855,71200,A,2,0,72500
10856,18300,C,0,0,20870
10857,69500,A,2,2,72300
10858,59100,B,0,3,63420
10859,47500,A,2,2,50300
10860,17400,C,0,3,22220
10861,48100,A,2,3,51650
10862,22900,A,1,1,24950
10863,85600,C,1,3,90350
10864,86100,A,2,0,87400
10865,20400,B,0,1,23220
10866,47600,A,1,3,51150
10867,29800,C,2,1,33050
10868,77300,A,1,0,78600
10869,73200,B,2,2,76700
10870,34700,B,2,0,36700
10871,40600,B,2,2,44100
10872,38800,B,2,0,40800
10873,47000,B,0,0,49070
10874,77400,B,2,0,79400
10875,31100,B,2,0,33100
10876,30100,B,1,3,34350
10877,18400,B,2,1,21150
10878,72000,A,0,0,73370
10879,50600,C,1,1,53850
10880,21600,B,0,2,25170
10881,10000,B,0,2,13570
10882,28100,B,2,3,32350
10883,39700,B,2,2,43200
10884,38300,C,0,0,40870
10885,53600,A,0,1,55720
10886,20400,C,1,0,22900
10887,58800,A,2,3,62350
10888,73800,A,2,3,77350
10889,53100,C,1,1,56350
10890,23500,C,0,0,26070
10891,40800,C,1,3,45550
10892,56500,A,2,3,60050
10893,49900,A,0,2,52770
10894,21000,B,1,0,23000
10895,64100,B,0,1,66920
10896,74200,A,2,3,77750
10897,47600,C,1,3,52350
10898,67100,C,1,0,69600
10899,44100,B,1,3,48350
10900,33700,C,1,0,36200
10901,70300,B,1,1,73050
10902,19000,B,2,0,21000
10903,30300,A,0,0,31670
10904,16900,B,2,1,19650
10905,17200,A,2,2,20000
10906,45100,C,1,1,48350
10907,84300,A,0,1,86420
10908,22000,A,0,0,23370
10909,82200,A,0,1,84320
10910,54600,C,2,3,59350
10911,75000,A,1,3,78550
10912,44800,B,1,2,48300
10913,15300,B,2,2,18800
10914,30100,A,0,1,32220
10915,19600,B,1,1,22350
10916,20600,A,2,2,23400
10917,24700,C,1,3,29450
10918,29900,A,0,2,32770
10919,40900,B,1,2,44400
10920,15400,A,1,0,16700
10921,64600,B,2,3,68850
10922,46600,C,1,3,51350
10923,69100,B,2,0,71100
10924,41500,B,0,2,45070
10925,25100,C,1,3,29850
10926,17800,C,0,0,20370
10927,79600,C,0,0,82170
10928,58700,A,2,2,61500
10929,73400,C,2,2,77400
10930,62300,A,0,3,65920
10931,50400,A,0,0,51770
10932,78100,C,1,3,82850
10933,61600,A,1,2,64400
10934,48300,A,0,0,49670
10935,23000,B,2,2,26500
10936,72200,A,2,2,75000
10937,14800,A,2,1,16850
10938,56200,A,2,2,59000
10939,63500,C,1,2,67500
10940,31700,C,0,1,35020
10941,37700,C,2,0,40200
10942,50600,B,2,1,53350
10943,78700,B,0,2,82270
10944,36000,C,0,2,40070
10945,51000,B,0,2,54570
10946,47200,C,0,3,52020
10947,25600,C,2,2,29600
10948,85200,B,2,1,87950
10949,24400,B,2,2,27900
10950,57200,B,0,1,60020
10951,13400,B,0,3,17720
10952,18300,B,1,0,20300
10953,61700,B,1,0,63700
10954,64700,C,0,3,69520
10955,43300,A,2,2,46100
10956,59300,C,1,0,61800
10957,26600,C,1,2,30600
10958,39600,C,2,0,42100
10959,69700,B,0,2,73270
10960,14100,A,0,3,17720
10961,11600,B,0,2,15170
10962,59100,A,1,2,61900
10963,55600,B,1,1,58350
10964,31500,C,2,0,34000
10965,47900,A,0,2,50770
10966,24300,C,0,0,26870
10967,75500,A,0,1,77620
10968,59300,A,1,0,60600
10969,10500,C,2,3,15250
10970,77200,A,1,0,78500
10971,34000,A,2,2,36800
10972,35700,A,0,3,39320
10973,44300,A,1,3,47850
10974,44700,A,1,0,46000
10975,15300,A,1,3,18850
10976,85500,C,2,3,90250
10977,57600,A,0,0,58970
10978,85400,A,0,2,88270
10979,18700,A,1,1,20750
10980,64300,A,2,3,67850
10981,30700,B,1,1,33450
10982,59500,B,1,1,62250
10983,64100,A,0,1,66220
10984,61000,A,2,3,64550
10985,11300,C,0,3,16120
10986,69900,C,2,3,74650
10987,24800,B,1,2,28300
10988,64800,A,0,2,67670
10989,30200,C,2,2,34200
10990,44400,C,0,3,49220
10991,49800,B,1,1,52550
10992,12000,A,0,0,13370
10993,25400,A,2,0,26700
10994,36300,A,2,1,38350
10995,28300,A,0,0,29670
10996,52900,B,0,2,56470
10997,69700,C,0,1,73020
10998,46200,A,1,0,47500
10999,32300,A,0,3,35920
11000,17300,C,0,2,21370
11001,89500,A,2,2,92300
11002,66100,A,0,1,68220
11003,85000,A,0,2,87870
11004,35100,B,0,0,37170
11005,74500,B,1,1,77250
11006,62900,C,0,1,66220
11007,64600,A,1,1,66650
11008,89900,B,1,0,91900
11009,70500,B,0,1,73320
11010,69200,B,1,1,71950
11011,87300,A,2,2,90100
11012,21600,C,0,3,26420
11013,63400,C,2,3,68150
11014,15400,A,0,2,18270
11015,40500,C,0,1,43820
11016,78900,C,1,0,81400
11017,50700,A,1,2,53500
11018,46700,B,0,0,48770
11019,44400,A,2,1,46450
11020,81000,A,0,3,84620
11021,17300,B,2,0,19300
11022,53200,B,0,3,57520
11023,49300,B,0,0,51370
11024,46800,B,1,3,51050
11025,46100,C,1,1,49350
11026,68300,C,1,0,70800
11027,20000,A,2,0,21300
11028,44700,C,0,1,48020
11029,87500,B,0,2,91070
11030,58700,A,1,2,61500
11031,42200,B,1,1,44950
11032,23300,B,2,1,26050
11033,82900,B,1,0,84900
11034,13300,A,2,2,16100
11035,11800,C,0,2,15870
11036,13500,B,1,3,17750
11037,33300,A,0,0,34670
11038,79300,C,1,0,81800
11039,37000,B,0,1,39820
11040,64600,C,2,1,67850
11041,37900,A,2,0,39200
11042,88400,C,1,3,93150
11043,18700,C,0,0,21270
11044,48900,A,2,1,50950
11045,27900,C,0,0,30470
11046,11800,A,1,0,13100
11047,80900,B,0,3,85220
11048,54700,A,2,0,56000
11049,71800,B,2,3,76050
11050,68700,B,1,2,72200
11051,43600,B,0,2,47170
11052,57800,C,2,3,62550
11053,58600,B,1,2,62100
11054,35400,B,0,2,38970
11055,46100,B,1,0,48100
11056,52700,B,2,2,56200
11057,47900,B,1,3,52150
11058,38600,C,2,2,42600
11059,43800,C,2,0,46300
11060,16700,A,2,2,19500
11061,59400,B,0,0,61470
11062,63600,A,1,0,64900
11063,60800,C,0,2,64870
11064,41100,B,2,1,43850
11065,50600,B,0,1,53420
11066,76900,A,1,1,78950
11067,36000,A,2,0,37300
11068,34600,B,1,0,36600
11069,80400,B,1,1,83150
11070,56000,C,0,1,59320
11071,67400,C,1,3,72150
11072,26900,A,0,1,29020
11073,40100,B,1,0,42100
11074,69700,A,0,2,72570
11075,13200,C,2,3,17950
11076,46800,C,1,0,49300
11077,50800,C,0,0,53370
11078,63900,C,2,2,67900
11079,84900,C,0,1,88220
11080,32600,B,0,2,36170
11081,17000,B,2,3,21250
11082,54100,C,0,2,58170
11083,68600,C,0,0,71170
11084,33900,B,0,1,36720
11085,37600,A,1,0,38900
11086,52900,A,0,1,55020
11087,50100,C,2,1,53350
11088,37900,B,2,1,40650
11089,46800,A,1,1,48850
11090,53400,C,2,1,56650
11091,25100,C,2,2,29100
11092,31900,C,1,3,36650
11093,25000,A,0,0,26370
11094,37000,B,1,3,41250
11095,79500,A,2,0,80800
11096,72100,C,0,1,75420
11097,11700,A,1,0,13000
11098,74100,B,2,2,77600
11099,43200,A,1,2,46000
11100,49900,C,2,3,54650
11101,65300,A,2,3,68850
11102,34000,A,0,3,37620
11103,88700,A,1,0,90000
11104,50200,A,0,2,53070
11105,43400,A,0,0,44770
11106,56300,B,2,0,58300
11107,42800,B,1,3,47050
11108,67400,B,0,2,70970
11109,15000,B,2,2,18500
11110,88700,B,2,0,90700
11111,45600,A,1,3,49150
11112,20500,B,1,3,24750
11113,12000,C,0,3,16820
11114,31100,B,0,3,35420
11115,45800,A,2,3,49350
11116,10800,C,2,2,14800
11117,46700,A,0,2,49570
11118,36700,C,2,0,39200
11119,20000,A,2,0,21300
11120,11600,B,2,2,15100
11121,43900,A,1,3,47450
11122,62100,B,1,3,66350
11123,12100,B,1,2,15600
11124,78500,C,2,2,82500
11125,21500,B,0,2,25070
11126,81700,A,1,1,83750
11127,51300,B,1,2,54800
11128,73900,C,1,0,76400
11129,23300,A,1,3,26850
11130,66800,A,0,1,68920
11131,37600,B,2,0,39600
11132,37200,C,2,1,40450
11133,82800,A,0,1,84920
11134,64100,B,2,1,66850
11135,33200,A,0,1,35320
11136,38900,C,2,3,43650
11137,64700,B,0,0,66770
11138,66700,B,2,2,70200
11139,60800,A,1,0,62100
11140,77000,B,2,2,80500
11141,52900,C,2,0,55400
11142,63700,B,0,0,65770
11143,29100,B,0,2,32670
11144,88900,B,0,3,93220
11145,33200,B,1,2,36700
11146,27700,C,1,3,32450
11147,55600,C,1,3,60350
11148,85000,B,0,3,89320
11149,35500,C,0,2,39570
11150,41700,A,1,1,43750
11151,32500,B,2,0,34500
11152,19200,B,2,2,22700
11153,61300,C,1,0,63800
11154,87000,A,2,1,89050
11155,35800,B,0,0,37870
11156,58200,B,0,1,61020
11157,80100,C,2,0,82600
11158,13300,C,2,0,15800
11159,54700,C,1,1,57950
11160,75700,B,2,1,78450
11161,33500,B,1,2,37000
11162,29400,C,1,2,33400
11163,17900,A,2,2,20700
11164,88200,C,2,1,91450
11165,61900,B,0,1,64720
11166,32800,C,0,1,36120
11167,79500,A,2,0,80800
11168,62000,C,1,1,65250
11169,23400,C,2,1,26650
11170,50600,C,0,0,53170
11171,38200,A,1,3,41750
11172,43800,A,0,1,45920
11173,86000,B,2,1,88750
11174,44100,A,1,1,46150
11175,13300,C,0,0,15870
11176,61400,A,0,2,64270
11177,28100,B,0,1,30920
11178,58700,B,1,1,61450
11179,61400,A,1,3,64950
11180,33400,B,2,0,35400
11181,44500,B,2,2,48000
11182,34100,B,1,3,38350
11183,56900,B,0,2,60470
11184,36600,B,2,0,38600
11185,78400,B,2,2,81900
11186,48000,A,2,0,49300
11187,20600,B,1,3,24850
11188,48000,B,0,2,51570
11189,63300,A,2,1,65350
11190,83500,C,1,1,86750
11191,38300,B,2,0,40300
11192,50300,A,1,0,51600
11193,87800,C,2,3,92550
11194,51800,B,0,3,56120
11195,59300,A,0,2,62170
11196,84400,B,0,0,86470
11197,53200,B,0,0,55270
11198,89800,B,2,2,93300
11199,55000,A,1,1,57050
11200,66200,A,1,3,69750
11201,22700,C,0,2,26770
11202,54300,C,0,3,59120
11203,32700,B,2,0,34700
11204,71100,A,1,2,73900
11205,69000,C,1,2,73000
11206,52300,B,2,1,55050
11207,50500,A,1,3,54050
11208,50700,C,2,2,54700
11209,56400,C,2,3,61150
11210,11300,A,1,1,13350
11211,67000,B,1,0,69000
11212,24000,C,2,3,28750
11213,33200,A,2,1,35250
11214,81500,B,1,2,85000
11215,29000,A,0,2,31870
11216,68900,B,1,3,73150
11217,54200,B,1,1,56950
11218,33800,C,1,3,38550
11219,33900,A,0,2,36770
11220,58100,B,1,1,60850
11221,70200,B,0,2,73770
11222,63800,C,0,3,68620
11223,49500,B,0,0,51570
11224,73900,A,1,0,75200
11225,42400,C,2,2,46400
11226,65500,B,1,1,68250
11227,56600,A,1,3,60150
11228,43000,B,0,3,47320
11229,51400,A,0,2,54270
11230,85800,A,1,0,87100
11231,67300,C,0,3,72120
11232,36600,B,0,3,40920
11233,23700,A,1,0,25000
11234,20000,A,0,3,23620
11235,58900,A,1,0,60200
11236,75100,C,2,2,79100
11237,26500,A,2,3,30050
11238,40700,B,1,2,44200
11239,50200,C,0,0,52770
11240,13600,A,2,1,15650
11241,15400,A,2,0,16700
11242,12900,A,2,3,16450
11243,58200,A,2,1,60250
11244,70100,C,2,1,73350
11245,53900,B,2,2,57400
11246,23300,B,1,2,26800
11247,26600,A,1,0,27900
11248,26900,C,2,3,31650
11249,60900,A,2,3,64450
11250,85700,C,1,1,88950
11251,21400,B,2,1,24150
11252,57600,A,0,0,58970
11253,76000,A,1,0,77300
11254,42500,A,2,0,43800
11255,77300,C,2,2,81300
11256,13600,C,0,3,18420
11257,87000,B,2,1,89750
11258,72700,A,0,0,74070
11259,50300,C,2,1,53550
11260,62600,A,0,1,64720
11261,12100,C,1,1,15350
11262,10400,A,0,2,13270
11263,34100,B,1,2,37600
11264,45200,B,2,3,49450
11265,26100,B,2,2,29600
11266,13400,B,2,2,16900
11267,17500,A,0,3,21120
11268,75100,B,0,0,77170
11269,17400,A,2,0,18700
11270,69100,C,1,1,72350
11271,79600,A,1,3,83150
11272,67900,A,2,2,70700
11273,71000,A,1,3,74550
11274,28700,B,0,3,33020
11275,66400,C,2,1,69650
11276,21100,C,2,3,25850
11277,27900,A,0,1,30020
11278,86200,B,2,0,88200
11279,45200,C,1,1,48450
11280,66100,B,2,3,70350
11281,33700,A,0,2,36570
11282,18000,B,1,2,21500
11283,35600,A,0,0,36970
11284,84700,A,0,3,88320
11285,13500,A,2,0,14800
11286,21200,A,2,0,22500
11287,37800,C,2,1,41050
11288,63300,C,1,3,68050
11289,39100,B,0,2,42670
11290,42000,A,2,3,45550
11291,12200,B,1,3,16450
11292,85900,C,1,2,89900
11293,46500,A,1,3,50050
11294,30400,B,0,3,34720
11295,67400,B,2,2,70900
11296,61000,C,2,2,65000
11297,38000,B,2,1,40750
11298,84000,C,2,2,88000
11299,82300,A,0,3,85920
11300,12800,C,0,2,16870
11301,56500,B,0,3,60820
11302,70900,C,0,2,74970
11303,41200,C,0,0,43770
11304,15800,B,0,2,19370
11305,41800,A,0,0,43170
11306,85200,A,2,0,86500
11307,73000,C,2,0,75500
11308,73600,C,0,3,78420
11309,12900,C,2,2,16900
11310,51300,B,0,3,55620
11311,71000,A,2,3,74550
11312,43400,C,0,2,47470
11313,39700,B,1,3,43950
11314,79300,A,2,0,80600
11315,61000,C,0,3,65820
11316,13600,C,2,1,16850
11317,76800,B,1,1,79550
11318,85500,A,0,2,88370
11319,53400,B,1,1,56150
11320,11500,A,2,0,12800
11321,27200,B,0,2,30770
11322,67400,B,2,2,70900
11323,16400,A,0,2,19270
11324,53200,C,1,2,57200
11325,18400,B,2,2,21900
11326,61500,B,1,2,65000
11327,71600,B,1,0,73600
11328,25500,B,1,0,27500
11329,44400,B,0,3,48720
11330,13600,C,0,3,18420
11331,43900,A,0,1,46020
11332,85800,C,0,1,89120
11333,11400,C,2,3,16150
11334,26500,C,0,1,29820
11335,45800,B,1,2,49300
11336,46800,C,1,2,50800
11337,62900,B,2,2,66400
11338,25900,A,1,3,29450
11339,57100,C,0,0,59670
11340,83400,C,0,2,87470
11341,11200,A,1,1,13250
11342,41600,A,0,3,45220
11343,12100,B,0,3,16420
11344,64300,A,0,3,67920
11345,66100,B,2,2,69600
11346,58300,A,2,0,59600
11347,71900,B,1,3,76150
11348,37500,C,1,1,40750
11349,69100,C,0,2,73170
11350,65700,B,2,3,69950
11351,41200,A,0,2,44070
11352,20300,A,0,0,21670
11353,72400,A,1,3,75950
11354,44300,B,0,3,48620
11355,83800,B,0,2,87370
11356,44900,A,2,2,47700
11357,81500,A,1,3,85050
11358,30100,A,2,0,31400
11359,67700,A,1,2,70500
11360,73000,B,2,1,75750
11361,44000,A,1,1,46050
11362,17100,C,2,0,19600
11363,63100,B,1,1,65850
11364,70900,A,2,0,72200
11365,86400,A,0,3,90020
11366,57800,C,2,0,60300
11367,32400,B,2,0,34400
11368,42100,C,0,1,45420
11369,65400,A,2,0,66700
11370,85800,A,2,0,87100
11371,34700,C,2,2,38700
11372,14900,B,0,3,19220
11373,82900,C,1,1,86150
11374,43900,C,0,3,48720
11375,28300,C,2,3,33050
11376,46600,C,0,3,51420
11377,43800,B,2,0,45800
11378,11300,B,2,2,14800
11379,32400,A,0,1,34520
11380,56800,C,2,2,60800
11381,64600,A,0,2,67470
11382,58900,A,1,3,62450
11383,56200,A,0,1,58320
11384,12400,B,1,0,14400
11385,19200,B,2,1,21950
11386,65800,A,0,3,69420
11387,61300,B,1,1,64050
11388,87500,C,2,1,90750
11389,16600,A,2,2,19400
11390,59400,B,1,1,62150
11391,20600,A,1,2,23400
11392,79500,B,0,2,83070
11393,12600,A,2,1,14650
11394,48600,C,2,3,53350
11395,83500,A,1,1,85550
11396,73700,A,1,3,77250
11397,53200,A,1,0,54500
11398,54900,C,1,0,57400
11399,56000,C,1,1,59250
11400,42900,C,2,3,47650
11401,71300,A,1,0,72600
11402,73000,B,1,0,75000
11403,30300,B,0,2,33870
11404,65500,B,1,3,69750
11405,60500,A,0,3,64120
11406,70300,C,1,0,72800
11407,17800,C,2,0,20300
11408,15900,A,2,1,17950
11409,86600,A,2,0,87900
11410,41900,A,2,2,44700
11411,31400,A,0,3,35020
11412,27500,B,2,3,31750
11413,40500,A,2,1,42550
11414,40900,A,0,0,42270
11415,41900,C,1,1,45150
11416,50300,B,0,1,53120
11417,10200,C,0,1,13520
11418,63800,C,0,3,68620
11419,31300,B,0,0,33370
11420,55100,A,1,0,56400
11421,56300,B,1,1,59050
11422,35100,C,2,3,39850
11423,43100,C,2,3,47850
11424,67900,A,1,3,71450
11425,43100,C,2,3,47850
11426,68800,A,2,1,70850
11427,72600,C,1,3,77350
11428,63800,A,0,2,66670
11429,86000,B,2,0,88000
11430,52600,A,1,3,56150
11431,85500,A,2,2,88300
11432,52900,A,2,0,54200
11433,37800,A,1,1,39850
11434,35300,B,1,3,39550
11435,60100,C,1,1,63350
11436,31700,A,1,0,33000
11437,86300,A,2,3,89850
11438,17700,A,2,3,21250
11439,28500,C,1,3,33250
11440,34700,B,2,3,38950
11441,64000,B,0,1,66820
11442,18500,C,0,0,21070
11443,72400,C,1,2,76400
11444,78700,B,1,2,82200
11445,68300,C,0,0,70870
11446,27900,A,2,1,29950
11447,47400,C,2,3,52150
11448,61400,C,1,3,66150
11449,18800,B,0,0,20870
11450,50600,A,1,1,52650
11451,66100,B,1,2,69600
11452,35500,C,0,2,39570
11453,75300,A,0,0,76670
11454,75000,C,1,3,79750
11455,42100,B,1,1,44850
11456,45500,B,2,0,47500
11457,50300,B,0,0,52370
11458,47400,B,2,0,49400
11459,71300,B,1,1,74050
11460,58700,C,0,3,63520
11461,76600,C,0,1,79920
11462,61700,C,1,1,64950
11463,62400,A,1,1,64450
11464,50800,B,0,0,52870
11465,60400,B,0,0,62470
11466,32700,B,0,3,37020
11467,58200,A,2,3,61750
11468,81000,C,2,3,85750
11469,44400,B,1,2,47900
11470,25800,C,0,1,29120
11471,18300,A,0,2,21170
11472,45600,C,1,2,49600
11473,44900,A,1,0,46200
11474,34800,A,2,1,36850
